Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
41,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,3211776,3211264,4014080,781511584,3211776,3211264,4014080,781511584
42,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,3309568,19267584,308281344,800779168,41844736,3309568,616562688,781511584
43,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,800779168,19270656,19267584,24084480,800779168
44,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,19281408,19267584,43352064,800779168,19281408,19267584,43352064,800779168
45,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,800779168,19270656,19267584,24084480,800779168
46,"Conv2d(384, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,301056,50176,19365888,3211264,308281344,803990432,25788416,19365888,616562688,800779168
47,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,3211776,3211264,4014080,803990432,3211776,3211264,4014080,803990432
48,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,3309568,19267584,308281344,823258016,41844736,3309568,616562688,803990432
49,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,823258016,19270656,19267584,24084480,823258016
50,"Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=384, bias=False)",13824,301056,301056,19281408,19267584,43352064,823258016,19281408,19267584,43352064,823258016
51,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,823258016,19270656,19267584,24084480,823258016
52,"Conv2d(384, 64, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,301056,50176,19365888,3211264,308281344,826469280,25788416,19365888,616562688,823258016
53,"BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",512,50176,50176,3211776,3211264,4014080,826469280,3211776,3211264,4014080,826469280
54,"Conv2d(64, 384, kernel_size=(1, 1), stride=(1, 1), bias=False)",98304,50176,301056,3309568,19267584,308281344,845736864,41844736,3309568,616562688,826469280
55,"BatchNorm2d(384, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",3072,301056,301056,19270656,19267584,24084480,845736864,19270656,19267584,24084480,845736864
